TagID,TagName,Tag Description
1,proof,"A mathematical proof is any mathematical argument which demonstrates the truth of a mathematical statement. Informal proofs are typically rendered in natural language and are held true by consensus; formal proofs are typically rendered symbolically and can be checked mechanically. ""Proofs"" can be valid or invalid; only the former kind constitutes actual proof, whereas the latter kind usually refers to a flawed attempt at proof."
2,directed-graph,"A directed graph is a set of objects (called vertices or nodes) that are connected together, where all the edges are directed from one vertex to another. A directed graph is sometimes called a digraph or a directed network."
3,probability,"Consider if your question would be better at stats.stackexchange.com. Probability touches upon uncertainty, random phenomena, random numbers, random variables, probability distributions, sampling, combinatorics."
4,a-star,A* is a graph shortest-path algorithm that uses a heuristic function to speed up the search
5,finite-automata,"A finite automaton (FA) is a mathematical description of an algorithm capable of parsing regular languages. FAs have no external memory, and as such can only take into account a fixed number of previous symbols when processing strings. A deterministic FA (DFAs) is one for which there is only ever one legal transition between states; nondeterministic FAs can be transformed into equivalent DFAs. FAs are the weakest of the commonly-defined automata."
6,dijkstra,"Dijkstra's algorithm, conceived by Dutch computer scientist Edsger Dijkstra is a graph search algorithm that solves the single-source shortest path problem for a connected graph with nonnegative edge path costs, producing a shortest path tree. This algorithm is often used in routing and as a subroutine in other graph algorithms."
7,priority-queue,"A priority queue is an abstract data type (ADT) which defines a container for a set of elements, each of which has an associated ""priority"".  The ADT specifies a method to access the highest priority element, which can be either a minimum or a maximum."
8,heap-memory,The heap is process memory set aside for dynamic allocation.
9,hashmap,"A data structure that uses a hash function to map identifying values, known as keys, to their associated values"
10,string-concatenation,String concatenation is the operation of joining two character strings end-to-end.
11,breadth-first-search,"In graph theory, breadth-first search (BFS) is a graph search algorithm that begins at the root node and explores all the neighboring nodes. Then for each of those nearest nodes, it explores their unexplored neighbor nodes, and so on, until it finds the goal."
12,set,"A set is a collection in which no element is repeated, which may be able to enumerate its elements according to an ordering criterion (an ""ordered set"") or retain no order (an ""unordered set"")."
13,hashcode,"A hash code is a result of applying a hash function to data, usually resulting in an integer."
14,np-complete,"NP-Complete refers to the hardest known problems within the complexity class NP.  The ""Traveling salesman problem"" is one of the most widely known NP-Complete problems."
15,knapsack-problem,"The knapsack problem is a problem in combinatorial optimization: Given a set of items with associated weights and values, determine the number of each item to include in a collection so that the total weight is less than or equal to a given limit and it maximizes the total value. It is an NP-complete problem, but several common simplifications are solved efficiently with dynamic programming."
16,mathematical-optimization,"Mathematical optimization deals with maximizing or minimizing an objective function by choosing input values from within an allowed feasible set, given by constraints and other criteria. It is often also referred to as mathematical programming. Commonly, it is either discrete (combinatorial) optimization, or continuous."
