UserID,Tag1,Tag2,Tag3,Tag4,Tag5,Usage
1,180,55,230,20,94,Private
4,170,58,12,169,9,Private
19,15,161,116,42,73,Private
21,53,181,166,164,132,Private
23,163,169,166,168,57,Private
24,10,163,9,72,71,Private
25,73,58,169,162,161,Private
27,167,170,130,168,181,Private
34,73,170,162,57,12,Private
35,180,36,3,64,181,Private
48,43,164,187,51,162,Private
53,163,161,165,7,162,Private
54,162,63,73,161,58,Private
55,132,74,163,12,164,Private
59,162,72,28,9,73,Public
61,162,165,51,167,168,Public
63,185,132,162,44,54,Public
70,161,167,162,180,129,Private
71,73,163,162,161,57,Private
74,164,54,72,162,142,Private
76,3,162,182,169,73,Private
79,76,134,170,176,185,Private
84,28,71,74,173,148,Private
87,7,55,16,11,177,Private
89,180,64,72,167,169,Public
90,169,163,165,57,73,Private
91,181,166,73,9,72,Public
92,151,53,164,80,58,Private
94,163,69,73,66,169,Private
95,52,72,161,167,181,Private
99,132,54,72,77,162,Public
100,28,73,130,163,164,Private
104,168,164,73,162,161,Private
112,28,164,161,149,181,Private
115,73,164,161,162,167,Public
117,61,161,163,53,142,Private
121,72,9,168,163,164,Private
133,162,163,72,76,73,Private
134,164,95,132,163,167,Private
141,162,54,180,163,161,Private
147,163,9,55,166,44,Private
153,57,80,168,163,181,Private
162,10,58,169,9,163,Private
164,170,12,9,161,181,Public
165,161,169,163,28,167,Private
166,138,163,25,58,178,Private
178,73,161,162,28,58,Public
184,71,3,28,53,135,Public
185,74,144,163,73,169,Private
188,182,181,21,162,169,Private
189,162,28,161,163,168,Private
191,161,73,66,181,164,Private
196,28,161,164,72,66,Private
199,75,180,94,169,28,Public
204,161,13,51,53,169,Public
205,162,51,74,164,67,Public
206,181,164,163,11,161,Private
208,169,73,2,181,28,Public
212,71,170,28,149,161,Private
213,76,164,181,44,162,Public
215,163,57,13,164,181,Public
219,169,163,72,166,167,Public
221,164,128,71,93,130,Private
222,175,72,167,169,162,Public
223,73,89,173,132,54,Public
231,167,65,162,166,28,Private
232,57,162,164,161,52,Private
237,181,9,137,103,73,Public
240,170,181,64,164,28,Private
244,28,130,164,163,181,Public
246,181,169,161,170,73,Private
247,166,163,57,58,164,Private
259,73,162,6,167,161,Private
260,166,69,162,73,58,Private
261,162,85,130,181,71,Private
267,161,167,181,137,71,Public
270,167,53,163,164,7,Public
274,57,21,164,28,8,Public
277,164,89,6,71,64,Public
283,28,167,44,57,73,Public
298,166,73,8,71,12,Private
300,73,181,163,50,161,Private
302,161,168,28,169,57,Public
313,55,164,168,103,181,Private
322,168,161,132,137,169,Private
324,169,164,162,84,73,Public
326,181,72,164,52,161,Private
330,73,156,164,162,181,Public
331,73,66,170,162,164,Private
335,161,71,74,73,181,Private
340,21,164,181,72,166,Private
341,40,164,212,71,168,Private
343,76,74,162,169,144,Public
352,189,167,169,77,73,Private
355,161,167,163,9,135,Public
356,12,28,168,72,169,Public
359,162,20,104,15,74,Private
363,67,164,44,58,46,Public
366,180,73,34,128,143,Private
367,66,73,137,162,168,Public
368,28,136,170,164,163,Private
372,167,66,3,73,71,Public
374,65,168,162,164,167,Private
375,73,167,135,9,69,Private
389,12,132,148,180,9,Public
398,83,65,1,158,164,Private
401,66,28,181,163,161,Private
404,170,166,163,162,164,Private
406,181,164,73,74,161,Public
409,103,72,162,58,28,Private
412,28,67,82,74,163,Private
414,163,8,161,164,28,Private
417,163,166,28,58,164,Private
426,163,12,58,181,168,Public
430,169,163,28,69,81,Private
432,185,13,73,162,69,Private
433,164,42,163,135,52,Private
434,164,44,163,143,162,Private
438,91,8,161,57,58,Private
439,167,181,57,71,73,Private
442,164,28,169,163,162,Private
447,163,53,58,28,161,Private
448,163,12,168,178,164,Private
452,74,53,12,181,47,Private
453,181,64,28,162,169,Private
455,20,169,73,28,161,Private
457,56,69,28,167,162,Public
458,73,167,162,169,20,Private
459,164,168,161,3,181,Private
464,181,8,9,164,73,Public
465,21,167,51,54,67,Private
467,181,77,38,58,12,Private
469,163,9,71,161,91,Public
473,52,28,20,55,146,Public
486,167,8,73,169,72,Private
487,161,73,10,9,169,Private
498,161,76,13,162,66,Private
501,72,53,55,163,162,Private
502,53,164,103,71,64,Private
503,167,170,164,21,162,Private
516,9,52,12,162,181,Private
520,155,145,72,179,142,Private
524,66,58,175,9,161,Private
529,161,57,91,72,58,Private
531,161,173,28,164,9,Private
537,178,161,168,163,181,Private
540,132,74,72,163,8,Public
542,169,53,185,82,137,Private
543,82,73,187,16,169,Private
544,181,12,73,161,170,Private
548,143,21,137,51,162,Public
551,169,168,164,66,185,Private
552,44,20,169,28,163,Public
555,36,167,20,168,71,Private
560,73,163,55,169,162,Public
568,9,168,28,170,163,Private
570,57,164,52,163,161,Private
575,164,135,168,58,220,Private
583,170,53,161,142,185,Private
586,58,167,164,170,8,Public
588,162,167,170,161,73,Private
591,55,57,72,167,8,Private
592,3,169,71,163,16,Private
593,74,161,73,72,168,Private
601,161,73,9,61,162,Private
604,181,163,53,167,84,Private
609,145,55,28,21,185,Public
614,73,168,163,28,164,Private
620,169,181,162,161,164,Private
621,28,80,16,71,57,Public
622,66,164,166,73,163,Private
624,165,20,73,51,52,Public
627,161,59,53,77,2,Public
631,129,43,161,131,67,Public
632,8,69,163,74,12,Private
640,53,73,137,161,74,Public
648,106,71,181,73,163,Private
650,170,73,141,167,60,Private
663,162,163,124,66,168,Private
671,181,163,167,135,73,Public
673,52,162,71,181,73,Public
676,164,73,13,53,181,Private
680,72,73,164,44,161,Private
684,71,28,9,73,162,Public
687,76,9,166,162,8,Private
688,185,125,12,72,163,Private
689,168,42,167,169,164,Private
690,163,170,20,13,161,Private
694,169,163,162,57,58,Private
706,28,181,164,163,9,Private
714,174,37,147,161,28,Private
718,130,181,162,131,14,Public
720,28,69,73,176,162,Public
721,28,163,67,161,72,Private
723,181,167,53,164,8,Private
724,72,161,10,76,162,Private
726,73,169,164,163,162,Public
729,164,55,163,44,162,Public
731,166,57,137,178,164,Public
733,55,162,37,163,185,Private
735,12,170,169,73,58,Private
738,167,66,169,58,168,Private
742,163,9,181,73,168,Private
744,53,181,162,73,28,Public
745,132,91,73,72,159,Public
746,161,58,82,51,163,Public
750,31,58,52,173,138,Private
754,7,162,163,73,170,Private
757,181,66,164,76,162,Private
762,51,162,142,178,194,Private
764,164,55,3,73,57,Private
766,161,141,58,163,73,Public
767,69,55,132,181,163,Private
770,135,161,169,28,163,Public
771,40,52,162,8,164,Public
772,163,162,164,73,180,Private
776,20,73,57,105,1,Private
777,69,73,161,55,144,Private
781,168,181,176,44,167,Private
783,161,163,53,73,164,Private
785,21,163,168,166,181,Private
786,74,67,161,164,162,Private
787,164,162,7,163,169,Public
789,141,161,167,71,177,Private
791,76,162,181,161,163,Public
795,167,164,73,28,161,Private
796,40,21,81,162,181,Private
798,164,72,143,10,57,Public
801,12,170,103,53,149,Private
802,170,163,167,181,58,Private
803,28,73,164,162,163,Public
810,71,169,167,142,58,Public
813,164,5,29,163,73,Private
815,162,71,132,65,51,Public
816,162,169,61,13,72,Public
828,169,163,28,53,137,Private
831,170,162,161,169,20,Private
834,163,178,28,72,74,Private
842,163,186,169,71,53,Public
845,144,162,156,28,171,Private
852,164,161,163,168,59,Private
853,164,64,170,28,169,Public
859,164,72,3,57,60,Private
861,168,73,60,57,169,Public
864,12,161,30,167,164,Private
867,52,185,72,53,74,Private
869,73,162,28,55,170,Private
870,66,185,162,83,169,Public
873,73,163,55,6,46,Public
875,66,161,162,73,12,Private
879,144,170,28,161,73,Private
882,135,103,60,64,56,Private
884,10,161,164,167,7,Private
910,181,167,73,143,10,Private
911,161,3,52,28,71,Private
914,53,163,52,134,167,Public
921,71,161,181,169,13,Private
925,144,141,4,164,169,Private
940,58,170,164,169,185,Private
944,55,56,161,12,58,Public
948,164,42,161,163,69,Public
949,162,67,69,9,58,Public
951,9,55,67,73,165,Public
954,66,185,181,72,132,Private
966,169,69,166,73,74,Private
967,167,169,67,86,168,Private
968,37,176,164,73,167,Public
974,66,28,58,53,12,Private
975,72,75,178,163,11,Public
981,178,6,44,72,163,Private
987,185,68,55,170,163,Private
993,132,21,162,178,137,Private
998,170,44,161,169,133,Private
1001,169,53,171,145,164,Private
1005,163,169,181,57,161,Public
1008,166,66,135,164,165,Private
1011,14,164,145,181,163,Private
1015,74,13,8,132,170,Private
1018,74,12,105,163,6,Private
1021,163,53,71,58,72,Private
1022,164,52,185,134,60,Public
1025,82,26,28,164,162,Private
1027,167,53,73,162,71,Private
1028,170,28,161,73,169,Public
1031,164,58,144,167,73,Private
1034,57,170,167,164,28,Public
1042,61,28,37,161,164,Private
1044,71,37,26,164,11,Private
1052,163,161,12,71,56,Private
1058,163,57,73,181,66,Private
1065,169,163,52,161,56,Private
1068,167,170,161,73,181,Public
1070,132,161,164,55,9,Private
1071,162,167,161,163,164,Public
1078,180,73,3,163,169,Private
1081,164,162,161,91,132,Public
