Id,Reputation,Views,UpVotes,DownVotes,AccountAgeDays,DaysSinceLastActivity
25397,63708,596583,3270,1108,5776,97
50351,33554,84765,827,88,5776,48
6032,52637,15464,759,26,5776,444
9083,221192,46081,5135,193,5775,666
44432,54667,5804,847,199,5775,435
30985,19518,1743,213,4,5775,48
28147,19633,4687,534,64,5775,2235
16321,107082,6280,5849,161,5775,84
42955,6405,739,75,0,5775,632
45023,13065,1483,644,95,5775,49
4997,28308,1452,363,39,5775,1326
45604,98604,2907,72,20,5775,830
40959,18278,1495,490,17,5775,2552
9867,10581,2193,797,43,5775,91
18933,41072,4659,3023,45,5775,48
32453,10173,1292,268,145,5775,1055
16585,60153,3900,2064,219,5775,387
15889,45427,2175,1316,224,5775,205
41647,143146,10886,4110,757,5775,51
42807,29457,3127,1438,19,5775,80
6092,31188,1976,1245,20,5775,60
18700,7904,646,708,10,5775,51
29448,77035,3637,426,48,5775,60
27276,64270,1427,464,83,5775,51
24827,7092,703,1721,54,5775,66
18350,179121,14888,7175,48,5775,50
25257,34361,2196,1027,98,5775,58
40983,44881,2227,572,61,5775,65
13594,14467,1343,2451,30,5775,50
36010,17338,2877,735,97,5774,298
38195,33619,2806,1193,159,5774,48
30248,89375,4910,2889,421,5774,49
36833,301115,25929,2580,37,5774,48
43828,23364,803,2152,13,5774,146
18316,44522,3308,515,50,5774,49
32498,59419,4500,409,37,5774,562
37131,6686,692,580,13,5774,1817
46407,17541,1952,914,21,5774,113
23312,47737,2504,1469,563,5774,781
35667,5725,390,364,2,5774,50
28201,54389,4055,646,20,5773,50
2609,35371,2650,1225,111,5773,154
34107,19053,1323,735,0,5773,49
24273,30283,1602,493,463,5773,97
35966,14024,741,656,19,5773,48
45524,8473,460,32,0,5773,189
14555,27161,835,1274,18,5773,49
21835,10831,724,57,7,5773,51
1588,29658,1575,904,27,5773,574
9751,46098,1892,1730,187,5773,58
12085,123073,6034,3993,321,5773,50
32410,36492,903,206,17,5773,63
43547,24044,1057,4697,68,5773,53
22523,38473,3985,2585,71,5772,48
629,7956,391,253,35,5772,445
33128,49113,1867,1480,156,5772,48
23345,385751,45937,5984,2249,5772,50
1516,35840,2561,1238,58,5772,49
39177,29842,1576,392,82,5772,77
31428,45563,2474,637,14,5772,50
25447,4123,698,218,11,5772,494
41362,29794,3205,323,29,5772,562
34655,28606,1143,362,121,5772,3264
35409,6218,533,161,4,5772,72
6889,108211,16078,5652,2855,5772,2478
5098,148729,8220,4512,430,5772,49
14251,13302,926,504,9,5772,58
9708,37787,1222,633,4,5772,48
19068,18444,1974,954,13,5772,416
32330,19643,1934,1842,189,5772,66
2697,50484,1631,1681,11,5772,49
37939,70238,7431,2352,84,5772,185
4940,16356,4544,1124,99,5772,52
26579,53407,3807,3283,130,5771,81
20824,43490,2060,572,4,5771,56
44745,41403,2282,3522,122,5771,2423
41800,102281,11096,5652,7328,5771,49
465,15257,722,475,11,5771,49
14041,12066,1080,1010,35,5771,49
3636,94830,8077,2810,196,5771,52
41941,29771,1849,868,23,5771,49
30196,11368,1323,419,42,5771,1002
46465,74983,3830,1155,233,5771,823
12714,101350,4621,1761,70,5771,50
17834,26235,830,128,4,5771,2541
25786,16707,355,14,1,5771,464
14885,25177,2768,2653,655,5771,48
38033,15719,1100,627,157,5771,50
22868,118870,32895,4829,2206,5771,50
19830,88693,2742,1885,17,5771,735
29210,7679,2423,1021,10,5771,50
32070,91284,3488,253,140,5771,290
34370,30632,4613,686,457,5771,65
43346,58511,5036,2702,25,5771,51
