UserID,Tag1,Tag2,Tag3,Tag4,Tag5,Usage
31,163,72,171,187,73,Private
33,161,56,162,73,12,Private
40,52,167,189,66,164,Private
49,52,161,74,55,44,Private
54,167,181,77,64,162,Private
91,73,72,169,28,161,Private
95,170,72,67,169,181,Private
111,164,162,72,21,169,Private
130,162,163,74,71,161,Private
152,161,9,167,28,66,Private
163,162,66,58,53,21,Private
172,173,42,71,6,181,Private
181,71,161,164,38,178,Private
199,141,72,10,169,73,Private
202,169,25,55,170,73,Public
212,169,28,164,163,69,Public
230,161,66,44,37,55,Public
236,162,166,28,163,66,Private
241,172,169,28,73,72,Private
256,11,37,6,25,71,Private
259,169,20,162,9,28,Private
268,138,2,16,53,170,Private
270,57,13,167,73,133,Private
277,116,164,10,12,73,Private
281,57,161,164,8,176,Public
288,181,162,167,161,135,Private
290,73,72,58,164,162,Public
327,162,133,53,28,164,Private
379,161,20,55,71,25,Private
393,181,73,167,161,169,Private
425,28,180,137,167,163,Public
434,12,9,162,137,168,Private
465,53,67,169,164,55,Private
485,161,164,8,71,72,Private
487,161,162,169,166,57,Public
521,9,167,73,137,164,Private
528,181,164,161,162,176,Private
534,69,166,162,167,163,Private
584,164,12,71,42,167,Private
625,71,61,73,53,163,Private
659,161,8,44,74,164,Private
664,164,13,170,71,101,Private
677,162,58,12,132,169,Private
697,168,71,57,163,81,Public
701,168,58,164,162,44,Private
719,168,72,170,161,135,Private
736,161,28,66,170,166,Public
738,181,162,161,164,8,Public
774,168,144,161,163,8,Private
780,130,142,169,58,54,Private
784,9,170,65,28,66,Private
813,73,11,72,164,16,Private
851,170,71,58,162,69,Private
891,73,149,58,164,166,Public
906,58,185,162,163,176,Public
938,3,7,73,75,28,Public
940,170,162,59,163,54,Private
960,132,169,58,71,72,Public
962,164,142,73,72,44,Private
989,53,52,40,169,74,Public
997,28,162,164,73,161,Public
1005,144,161,28,169,74,Public
1018,130,135,16,58,162,Private
1020,74,163,162,167,164,Public
1035,168,163,167,73,169,Public
1047,53,162,66,73,28,Private
1054,161,76,163,166,169,Private
1084,72,161,164,169,186,Public
1098,113,7,163,130,161,Private
1101,169,152,143,163,164,Public
1110,163,144,28,165,13,Private
1118,9,13,54,53,163,Private
1122,163,162,6,169,137,Private
1135,163,169,164,57,161,Private
1138,9,55,76,52,161,Private
1148,12,28,58,163,167,Public
1176,74,73,69,28,66,Public
1180,73,74,161,8,162,Public
1192,162,7,163,73,15,Public
1213,169,170,162,72,163,Public
1215,91,54,162,12,161,Private
1247,163,40,167,71,162,Private
1248,163,12,11,72,51,Public
1254,16,162,180,3,161,Private
1263,169,149,164,9,181,Private
1313,74,169,11,164,161,Public
1333,162,54,55,76,72,Private
1336,72,164,168,58,28,Public
1376,144,72,132,73,169,Private
1407,72,73,181,66,28,Private
1445,52,162,167,145,8,Private
1448,37,71,58,181,93,Private
1459,73,170,53,72,164,Public
1493,54,28,53,58,187,Private
1507,167,57,161,73,72,Public
1566,181,163,72,164,9,Public
1577,72,162,167,168,161,Private
1578,66,17,181,71,163,Public
1585,137,167,163,73,53,Private
1609,71,29,15,82,181,Public
1616,57,53,166,55,162,Private
1633,187,5,70,164,181,Public
1683,167,12,170,28,163,Private
